Name,Strength,Vision,Outcome
21,2.74901,2.25099,1
2,0.3826,4.6174,0
3,3.49163,1.50837,0
4,3.44867,1.55133,0
5,0.38368,4.61632,0
6,2.11408,2.88592,0
7,3.4169,1.5831,0
8,4.00133,0.998668,0
9,1.00863,3.99137,0
10,2.59752,2.40248,0
11,3.30108,1.69892,0
12,0.577643,4.42236,0
13,3.74664,1.25336,0
14,3.96195,1.03805,0
15,2.30937,2.69063,0
16,0.82172,4.17828,0
17,3.40929,1.59071,0
18,3.56767,1.43233,0
19,0.742996,4.257,0
20,4.31243,0.687565,0
22,3.8026,1.07318,0
23,3.2658,1.61309,0
24,3.3236,1.62141,0
25,3.68559,1.06419,0
26,3.36814,1.58267,0
27,3.64428,1.02542,0
28,3.58141,1.0046,0
14,2.44157,2.55843,1
2,0.447431,4.55257,0
3,2.14628,2.85372,0
4,3.8024,1.1976,0
5,0.623012,4.37699,0
6,3.45537,1.54463,0
7,1.54068,3.45932,0
8,4.54602,0.453982,0
9,2.8613,2.1387,0
10,2.75693,2.24307,0
11,1.76085,3.23915,0
12,0.560419,4.43958,0
13,0.371466,4.62853,0
15,1.87874,3.12126,0
16,2.19746,2.80254,0
17,1.39621,3.60379,0
18,4.29305,0.706954,0
19,2.06471,2.93529,0
20,1.37515,3.62485,0
21,1.9466,3.0534,0
22,1.74337,3.13002,0
5,3.56952,1.43048,1
6,1.17316,3.82684,1
18,2.1223,2.8777,1
15,3.17394,1.82606,1
2,2.19031,2.80969,0
3,3.37003,1.62997,0
4,1.45481,3.54519,0
7,4.81475,0.185248,0
8,1.41597,3.58403,0
9,3.66495,1.33505,0
10,4.55962,0.440376,0
11,4.89684,0.103157,0
12,4.45565,0.544345,0
13,1.94023,3.05977,0
14,4.14955,0.850446,0
16,1.95504,3.04496,0
17,1.72069,3.27931,0
19,4.23054,0.769463,0
20,4.59748,0.402524,0
21,0.476568,4.52343,0
22,1.86625,2.97121,0
23,1.35771,3.56244,0
24,3.54035,1.35228,0
21,3.6671,1.3329,1
2,0.236228,4.76377,0
3,0.280357,4.71964,0
4,3.72985,1.27015,0
5,4.52359,0.476414,0
6,1.02574,3.97426,0
7,1.28233,3.71767,0
8,1.11449,3.88551,0
9,4.86831,0.131691,0
10,2.71017,2.28983,0
11,4.84865,0.151346,0
12,0.68015,4.31985,0
13,0.882385,4.11761,0
14,4.75233,0.247672,0
15,0.699983,4.30002,0
16,1.30657,3.69343,0
17,4.72901,0.270987,0
18,2.30874,2.69126,0
19,1.24121,3.75879,0
20,3.74418,1.25582,0
2,2.77604,2.22396,1
9,2.06125,2.93875,1
3,0.864456,4.13554,0
4,3.91982,1.08018,0
5,2.15285,2.84715,0
6,4.207,0.792999,0
7,4.11275,0.887249,0
8,0.149439,4.85056,0
10,1.56561,3.43439,0
11,4.09544,0.90456,0
12,0.697286,4.30271,0
13,0.479967,4.52003,0
14,2.76543,2.23457,0
15,0.52409,4.47591,0
16,2.04183,2.95817,0
17,1.25555,3.74445,0
18,0.230875,4.76912,0
19,3.21528,1.78472,0
20,3.57387,1.42613,0
21,4.60407,0.395929,0
22,4.02161,0.848385,0
23,2.69986,2.18284,0
24,2.7361,2.13152,0
25,2.01432,2.86724,0
26,2.7247,2.16598,0
27,2.76541,2.22281,0
2,2.89059,2.10941,1
10,3.80647,1.19353,1
3,0.371171,4.62883,0
4,4.53248,0.46752,0
5,3.25224,1.74776,0
6,2.27929,2.72071,0
7,0.145409,4.85459,0
8,3.6703,1.3297,0
9,1.51621,3.48379,0
11,0.66222,4.33778,0
12,2.5588,2.4412,0
13,0.598607,4.40139,0
14,2.85254,2.14746,0
15,3.25792,1.74208,0
16,3.89454,1.10546,0
17,1.88601,3.11399,0
18,1.84752,3.15248,0
19,1.13997,3.86003,0
20,0.448531,4.55147,0
21,1.01759,3.98241,0
22,2.81542,2.1125,0
23,3.78435,1.11775,0
24,2.84093,2.11278,0
25,3.76842,1.14423,0
26,2.7928,2.08655,0
27,3.80367,1.08907,0
3,2.40248,2.59752,1
2,3.2741,1.7259,0
4,1.04459,3.95541,0
5,3.67639,1.32361,0
6,4.34903,0.650971,0
7,0.293629,4.70637,0
8,4.69865,0.301347,0
9,3.87289,1.12711,0
10,1.54407,3.45593,0
11,3.56753,1.43247,0
12,1.12206,3.87794,0
13,3.66507,1.33493,0
14,1.29863,3.70137,0
15,1.3786,3.6214,0
16,0.320813,4.67919,0
17,1.11789,3.88211,0
18,0.22476,4.77524,0
19,2.75981,2.24019,0
20,2.51364,2.48636,0
21,2.83595,2.16405,0
22,0.993672,3.8671,0
23,2.75786,2.18679,0
24,2.79217,2.19399,0
25,2.80504,2.15795,0
21,2.47078,2.52922,1
11,1.98063,3.01937,1
2,0.0464635,4.95354,0
3,3.89811,1.10189,0
4,0.694192,4.30581,0
5,0.453985,4.54602,0
6,0.852126,4.14787,0
7,2.81054,2.18946,0
8,1.66681,3.33319,0
9,3.7969,1.2031,0
10,4.90726,0.0927384,0
12,1.4358,3.5642,0
13,2.1135,2.8865,0
14,2.37373,2.62627,0
15,4.85866,0.141339,0
16,3.18793,1.81207,0
17,1.59763,3.40237,0
18,3.75987,1.24013,0
19,1.47662,3.52338,0
20,3.07244,1.92756,0
22,1.37291,3.54057,0
23,1.38301,3.52458,0
6,3.94683,1.05317,1
11,3.96486,1.03514,1
7,2.93227,2.06773,1
18,3.66743,1.33257,1
2,3.64334,1.35666,0
3,1.95244,3.04756,0
4,0.0553582,4.94464,0
5,1.58483,3.41517,0
8,0.712647,4.28735,0
9,3.76872,1.23128,0
10,4.25913,0.740867,0
12,2.2361,2.7639,0
13,1.69036,3.30964,0
14,4.75108,0.248921,0
15,2.06005,2.93995,0
16,4.18136,0.818641,0
17,0.382116,4.61788,0
19,4.28442,0.715584,0
20,4.65285,0.347154,0
21,2.21347,2.78653,0
22,3.67849,1.2067,0
23,2.11998,2.82878,0
24,3.61878,1.27848,0
25,3.72336,1.14694,0
26,3.77336,1.19213,0
27,3.76932,1.13564,0
28,3.69826,1.16291,0
29,3.77969,1.10368,0
30,3.83929,1.09164,0
31,3.78604,1.13234,0
32,3.72865,1.06523,0
33,3.81848,1.00105,0
34,3.73461,1.11044,0
35,3.81097,1.0193,0
36,3.79955,1.04103,0
22,2.42879,2.46705,1
14,3.7418,1.2582,1
7,1.50507,3.49493,1
2,2.25249,2.74751,0
3,2.33204,2.66796,0
4,4.98797,0.0120271,0
5,2.59016,2.40984,0
6,4.40357,0.596426,0
8,3.3759,1.6241,0
9,1.07977,3.92023,0
10,4.48185,0.518151,0
11,4.79939,0.200609,0
12,0.520204,4.4798,0
13,1.23535,3.76465,0
15,0.354531,4.64547,0
16,0.887848,4.11215,0
17,1.03755,3.96245,0
18,0.0172645,4.98274,0
19,3.37884,1.62116,0
20,4.10153,0.898474,0
21,4.42942,0.570581,0
14,1.4213,3.5787,1
9,0.9997,4.0003,1
21,2.7092,2.2908,1
2,0.868576,4.13142,0
3,4.4609,0.539103,0
4,4.75833,0.241669,0
5,0.319936,4.68006,0
6,0.776751,4.22325,0
7,2.29749,2.70251,0
8,3.19084,1.80916,0
10,0.294701,4.7053,0
11,2.72159,2.27841,0
12,2.22365,2.77635,0
13,0.0179431,4.98206,0
15,0.899743,4.10026,0
16,2.4344,2.5656,0
17,1.9977,3.0023,0
18,1.04749,3.95251,0
19,1.31301,3.68699,0
20,4.41031,0.589694,0
22,0.933096,4.01417,0
23,0.896994,3.96117,0
24,1.34667,3.56738,0
25,1.32049,3.53406,0
26,1.25387,3.55876,0
27,1.29704,3.56928,0
28,1.3168,3.60448,0
29,1.38246,3.5706,0
30,1.31345,3.60253,0
31,1.36198,3.52619,0
32,1.36462,3.45828,0
33,1.34234,3.51114,0
13,3.68687,1.31313,1
3,3.60735,1.39265,1
2,0.581961,4.41804,0
4,1.13312,3.86688,0
5,2.67919,2.32081,0
6,0.0804062,4.91959,0
7,2.8232,2.1768,0
8,2.76705,2.23295,0
9,3.04132,1.95868,0
10,0.291479,4.70852,0
11,3.35669,1.64331,0
12,3.70943,1.29057,0
14,4.06296,0.937044,0
15,2.4464,2.5536,0
16,0.0446342,4.95537,0
17,3.39769,1.60231,0
18,3.54219,1.45781,0
19,3.74537,1.25463,0
20,4.60315,0.396848,0
21,0.309004,4.691,0
22,2.67972,2.22783,0
23,3.63095,1.2993,0
24,3.6912,1.22078,0
25,3.61684,1.32608,0
26,3.65663,1.17428,0
27,3.64126,1.24626,0
28,3.58627,1.31121,0
29,3.61136,1.33803,0
30,3.61172,1.27086,0
10,3.03724,1.96276,1
14,2.49936,2.50064,1
17,2.62189,2.37811,1
2,0.962154,4.03785,0
3,3.14125,1.85875,0
4,2.65265,2.34735,0
5,0.598091,4.40191,0
6,2.15611,2.84389,0
7,0.479692,4.52031,0
8,1.28806,3.71194,0
9,2.90915,2.09085,0
11,1.2529,3.7471,0
12,4.79133,0.208671,0
13,4.25972,0.740276,0
15,0.59585,4.40415,0
16,1.47306,3.52694,0
18,4.46112,0.538878,0
19,0.359798,4.6402,0
20,4.16725,0.832754,0
21,2.18441,2.81559,0
22,2.7628,2.18464,0
23,2.76221,2.21005,0
24,2.69009,2.16565,0
20,3.06816,1.93184,1
14,2.29295,2.70705,1
2,4.54171,0.458286,0
3,1.16987,3.83013,0
4,1.99055,3.00945,0
5,4.20327,0.796725,0
6,0.214307,4.78569,0
7,0.569494,4.43051,0
8,2.79577,2.20423,0
9,2.82969,2.17031,0
10,4.84484,0.155159,0
11,0.68051,4.31949,0
12,0.520281,4.47972,0
13,1.27451,3.72549,0
15,2.69866,2.30134,0
16,2.37839,2.62161,0
17,3.78326,1.21674,0
18,4.23312,0.766882,0
19,3.04111,1.95889,0
21,1.74105,3.25895,0
22,0.495052,4.40315,0
23,2.81214,2.10185,0
24,2.74625,2.05658,0
11,2.60929,2.39071,1
16,3.31379,1.68621,1
17,2.43279,2.56721,1
19,3.26223,1.73777,1
13,0.810568,4.18943,1
2,0.626094,4.37391,0
3,1.69317,3.30683,0
4,3.83306,1.16694,0
5,2.8133,2.1867,0
6,0.765355,4.23465,0
7,0.667829,4.33217,0
8,4.3073,0.692697,0
9,0.241547,4.75845,0
10,4.16648,0.833516,0
12,1.23999,3.76001,0
14,2.08272,2.91728,0
15,4.79374,0.206262,0
18,4.00254,0.99746,0
20,4.44567,0.554327,0
21,1.30612,3.69388,0
22,0.729807,4.1698,0
23,1.19512,3.62989,0
24,2.64116,2.26724,0
25,2.70949,2.19219,0
26,2.70026,2.25296,0
27,2.4369,2.39838,0
28,3.2863,1.64731,0
29,2.46317,2.38584,0
30,3.20694,1.6376,0
31,2.4781,2.46267,0
32,3.26463,1.69597,0
33,2.44883,2.43113,0
34,3.1955,1.61636,0
35,2.50475,2.38022,0
36,3.26395,1.63334,0
37,2.4352,2.381,0
38,3.28087,1.68608,0
39,2.47724,2.4158,0
40,3.20805,1.61963,0
41,2.42933,2.44354,0
42,3.26425,1.65112,0
18,2.50119,2.49881,1
10,2.52493,2.47507,1
4,0.975903,4.0241,1
2,4.90547,0.0945273,0
3,3.18936,1.81064,0
5,2.10176,2.89824,0
6,2.2661,2.7339,0
7,0.678055,4.32194,0
8,3.79104,1.20896,0
9,0.158395,4.8416,0
11,3.5432,1.4568,0
12,4.03937,0.960631,0
13,4.25922,0.740775,0
14,0.683668,4.31633,0
15,3.24961,1.75039,0
16,3.69066,1.30934,0
17,2.94188,2.05812,0
19,4.50464,0.495356,0
20,0.0336772,4.96632,0
21,0.890829,4.10917,0
22,3.57354,1.28113,0
23,3.63395,1.23924,0
24,3.63549,1.22205,0
3,2.73822,2.26178,1
21,2.75807,2.24193,1
16,2.55524,2.44476,1
2,0.276151,4.72385,0
4,2.48579,2.51421,0
5,2.51208,2.48792,0
6,1.86192,3.13808,0
7,0.816211,4.18379,0
8,2.30728,2.69272,0
9,0.0509913,4.94901,0
10,0.240341,4.75966,0
11,1.44289,3.55711,0
12,2.64858,2.35142,0
13,2.28633,2.71367,0
14,1.63811,3.36189,0
15,3.92435,1.07565,0
17,2.20687,2.79313,0
18,0.935201,4.0648,0
19,1.03639,3.96361,0
20,2.17106,2.82894,0
22,2.57151,2.3366,0
23,2.56144,2.3793,0
24,2.52203,2.37554,0
25,2.6228,2.33117,0
26,2.20588,2.68998,0
27,2.53122,2.3624,0
28,2.53379,2.28479,0
29,2.34455,2.50107,0
30,2.20604,2.76629,0
31,2.54008,2.3592,0
32,2.67983,2.2166,0
33,2.62481,2.25736,0
34,2.60178,2.32167,0
35,2.18557,2.60561,0
36,2.55637,2.23684,0
37,2.60553,2.25221,0
38,2.69197,2.23053,0
39,2.69974,2.1778,0
40,2.68335,2.23804,0
41,2.59145,2.24351,0
42,2.70039,2.21771,0
43,2.62229,2.21187,0
44,2.70189,2.28364,0
45,2.63799,2.18545,0
46,2.6938,2.20757,0
47,2.7011,2.24507,0
48,2.61883,2.2292,0
49,2.70259,2.17266,0
50,2.6602,2.21054,0
51,2.67961,2.20677,0
52,2.65984,2.19465,0
53,2.63781,2.2389,0
54,2.68656,2.2621,0
55,2.64625,2.19548,0
56,2.61979,2.2061,0
57,2.59305,2.2212,0
58,2.61313,2.15255,0
20,3.84461,1.15539,1
2,1.08339,3.91661,0
3,2.4238,2.5762,0
4,3.22176,1.77824,0
5,0.994865,4.00514,0
6,1.74032,3.25968,0
7,1.46525,3.53475,0
8,3.41479,1.58521,0
9,2.03942,2.96058,0
10,2.09201,2.90799,0
11,1.53631,3.46369,0
12,4.90486,0.0951399,0
13,0.535518,4.46448,0
14,4.11424,0.885757,0
15,0.138766,4.86123,0
16,3.65993,1.34007,0
17,4.82436,0.175644,0
18,3.30189,1.69811,0
19,1.26968,3.73032,0
21,2.56579,2.43421,0
22,2.46151,2.417,0
23,3.71958,1.24682,0
24,3.70533,1.18814,0
25,3.70577,1.11409,0
26,3.7239,1.14557,0
27,3.68551,1.13303,0
9,1.93018,3.06982,1
2,2.17209,2.82791,0
3,0.44295,4.55705,0
4,2.54682,2.45318,0
5,4.61275,0.387247,0
6,2.28071,2.71929,0
7,1.54275,3.45725,0
8,4.93825,0.0617486,0
10,3.89071,1.10929,0
11,0.980827,4.01917,0
12,0.587863,4.41214,0
13,0.0490307,4.95097,0
14,3.92175,1.07825,0
15,4.67513,0.324871,0
16,4.57728,0.422723,0
17,0.989152,4.01085,0
18,0.483315,4.51668,0
19,3.98308,1.01692,0
20,0.22625,4.77375,0
21,2.00618,2.99382,0
22,3.90564,1.08845,0
23,3.87286,1.00182,0
24,3.81187,1.03088,0
25,3.81263,1.07722,0
26,3.83822,1.05398,0
18,2.88184,2.11816,1
21,1.73532,3.26468,1
2,0.761974,4.23803,0
3,0.992585,4.00741,0
4,1.90617,3.09383,0
5,0.733279,4.26672,0
6,2.87014,2.12986,0
7,1.66055,3.33945,0
8,1.46938,3.53062,0
9,1.89624,3.10376,0
10,3.23481,1.76519,0
11,0.444714,4.55529,0
12,3.88193,1.11808,0
13,4.61167,0.388326,0
14,3.77176,1.22824,0
15,4.36944,0.630557,0
16,3.04625,1.95376,0
17,4.73793,0.262074,0
19,1.75089,3.24911,0
20,1.76127,3.23873,0
22,0.737813,4.17469,0
23,1.67758,3.21032,0
24,2.96124,1.98886,0
25,1.6988,3.14928,0
26,1.86588,3.07379,0
27,1.65152,3.239,0
28,1.86115,3.08046,0
29,2.90515,2.03428,0
30,1.85785,3.08342,0
15,1.41747,3.58253,1
2,4.34015,0.659849,0
3,1.50513,3.49487,0
4,3.73714,1.26286,0
5,4.33426,0.665737,0
6,3.40528,1.59472,0
7,1.74351,3.25649,0
8,2.96745,2.03255,0
9,4.28491,0.715087,0
10,2.53599,2.46401,0
11,2.35319,2.64681,0
12,2.06836,2.93164,0
13,4.1204,0.879602,0
14,3.53071,1.46929,0
16,1.44475,3.55525,0
17,3.34069,1.65931,0
18,0.0856149,4.91439,0
19,1.92145,3.07855,0
20,0.568145,4.43186,0
21,1.20986,3.79014,0
8,1.97119,3.02881,1
20,4.41808,0.581917,1
2,0.419719,4.58028,0
3,4.52465,0.475352,0
4,0.570638,4.42936,0
5,2.93819,2.06181,0
6,3.9502,1.0498,0
7,4.32906,0.670935,0
9,4.18683,0.813174,0
10,4.33993,0.660074,0
11,1.77182,3.22818,0
12,0.27211,4.72789,0
13,3.63241,1.36759,0
14,3.30686,1.69314,0
15,3.48737,1.51263,0
16,4.84802,0.151979,0
17,1.97123,3.02877,0
18,2.31617,2.68383,0
19,4.60023,0.399771,0
21,0.716284,4.28372,0
22,3.48204,1.35622,0
5,2.93849,2.06151,1
16,3.20192,1.79808,1
17,2.47665,2.52335,1
2,2.67899,2.32101,0
3,1.77104,3.22896,0
4,4.63529,0.36471,0
6,1.45518,3.54482,0
7,0.184334,4.81567,0
8,0.603085,4.39691,0
9,0.945702,4.0543,0
10,0.691414,4.30859,0
11,4.18778,0.812218,0
12,1.80316,3.19684,0
13,4.40053,0.599469,0
14,1.51467,3.48533,0
15,2.38902,2.61098,0
18,2.76506,2.23494,0
19,4.02971,0.970285,0
20,2.05327,2.94673,0
21,1.78447,3.21553,0
22,1.77888,3.14469,0
23,2.57715,2.40055,0
24,2.7521,2.13224,0
25,2.6104,2.28617,0
26,2.78011,2.11825,0
27,2.48672,2.37945,0
28,2.78527,2.13122,0
29,2.65145,2.14288,0
30,2.70987,2.1698,0
31,2.68394,2.05644,0
32,2.7038,2.13356,0
33,2.85147,2.03069,0
34,2.48656,2.27739,0
35,2.76579,2.03935,0
36,2.70508,2.01357,0
37,2.78366,2.04721,0
38,2.81689,2.06324,0
39,2.72348,1.99539,0
40,2.72304,2.12379,0
41,2.78877,2.03238,0
42,2.81883,1.99489,0
43,2.76335,1.99519,0
44,2.8234,2.02712,0
45,2.7079,1.99008,0
45,2.71377,1.92901,0
46,2.82057,2.01581,0
47,2.82365,1.99088,0
48,2.87301,2.01207,0
15,0.531079,4.46892,1
21,1.13435,3.86565,1
2,3.04612,1.95388,0
3,1.30027,3.69973,0
4,1.14971,3.85029,0
5,3.33908,1.66092,0
6,1.02624,3.97376,0
7,0.330633,4.66937,0
8,1.59934,3.40067,0
9,3.30889,1.69111,0
10,3.41857,1.58143,0
11,2.05162,2.94838,0
12,0.379841,4.62016,0
13,4.94155,0.0584463,0
14,4.91016,0.0898364,0
16,4.57868,0.42132,0
17,1.65078,3.34922,0
18,1.17089,3.82911,0
19,3.06389,1.93611,0
20,4.05795,0.942048,0
22,3.17312,1.72549,0
5,3.76104,1.23896,1
20,3.71959,1.28041,1
16,0.984994,4.01501,1
2,0.925695,4.0743,0
3,3.34998,1.65002,0
4,0.165397,4.8346,0
6,3.12257,1.87743,0
7,0.479183,4.52082,0
8,2.63022,2.36978,0
9,0.702058,4.29794,0
10,1.15135,3.84865,0
11,2.46901,2.53099,0
12,1.49072,3.50928,0
13,2.99619,2.00381,0
14,0.885102,4.1149,0
15,3.71073,1.28927,0
17,3.43851,1.56149,0
18,4.61693,0.383065,0
19,4.65648,0.343523,0
21,0.527278,4.47272,0
22,3.68257,1.17636,0
23,3.67466,1.22809,0
24,3.63929,1.206,0
25,3.67287,1.2057,0
26,3.66535,1.23308,0
27,3.71612,1.1902,0
28,3.69131,1.23341,0
29,3.68518,1.17695,0
30,3.64814,1.18327,0
15,3.33767,1.66233,1
21,2.63295,2.36705,1
2,2.01657,2.98343,0
3,3.88747,1.11253,0
4,2.01006,2.98994,0
5,4.88267,0.117327,0
6,1.1919,3.8081,0
7,0.580088,4.41991,0
8,1.66127,3.33873,0
9,3.13667,1.86333,0
10,2.97711,2.02289,0
11,1.92902,3.07098,0
12,4.73779,0.262208,0
13,2.54021,2.45979,0
14,0.722817,4.27718,0
16,1.93644,3.06356,0
17,2.15892,2.84108,0
18,4.42254,0.577461,0
19,2.40892,2.59108,0
20,2.69834,2.30166,0
22,1.87061,3.00643,0
23,1.89445,2.96988,0
24,2.61575,2.36477,0
25,2.5917,2.32057,0
26,2.37985,2.47955,0
27,2.57038,2.37934,0
28,2.47236,2.48984,0
29,2.55284,2.32916,0
30,2.55985,2.29133,0
31,2.48027,2.42992,0
32,2.57679,2.30664,0
33,2.59102,2.32088,0
34,2.60935,2.37674,0
35,2.60281,2.25711,0
36,2.59253,2.28867,0
15,3.86667,1.13333,1
8,2.63167,2.36833,1
2,2.37097,2.62903,1
3,0.893624,4.10638,0
4,3.49501,1.50499,0
5,2.76548,2.23452,0
6,3.22759,1.77241,0
7,0.687311,4.31269,0
9,0.446713,4.55329,0
10,3.15299,1.84701,0
11,4.75396,0.246037,0
12,0.736219,4.26378,0
13,0.514339,4.48566,0
14,4.05843,0.941573,0
16,3.22585,1.77415,0
17,1.23993,3.76007,0
18,2.66793,2.33207,0
19,1.32802,3.67198,0
20,4.55819,0.441811,0
21,1.75894,3.24106,0
22,3.30148,1.54143,0
23,3.29784,1.5807,0
24,3.26186,1.58199,0
25,3.30736,1.56858,0
26,3.58938,1.23625,0
27,3.63537,1.13148,0
28,3.72081,1.05607,0
29,3.79273,1.08558,0
30,3.77149,1.08677,0
31,3.75057,1.08883,0
32,3.82015,1.06924,0
16,1.85543,3.14457,1
21,2.10171,2.89829,1
15,3.19138,1.80862,1
14,3.65877,1.34123,1
2,4.63844,0.361559,0
3,3.92571,1.07429,0
4,2.76557,2.23443,0
5,1.06277,3.93723,0
6,4.87029,0.129711,0
7,4.37946,0.620537,0
8,4.14412,0.855884,0
9,4.67851,0.321493,0
10,3.98644,1.01356,0
11,2.6329,2.3671,0
12,3.96854,1.03146,0
13,4.63613,0.363869,0
17,4.07169,0.928312,0
18,1.18143,3.81857,0
19,4.56651,0.433485,0
20,4.04293,0.957069,0
22,2.63271,2.23595,0
23,2.69197,2.16652,0
24,4.01817,0.888023,0
25,2.676,2.20965,0
26,3.72054,1.178,0
27,3.80268,1.05889,0
28,3.79509,1.18274,0
29,3.87839,0.94586,0
30,3.79156,1.1477,0
31,3.80326,1.16752,0
28,1.94464,2.97328,1
32,1.91992,3.02925,1
30,1.92333,3.04456,1
13,2.27034,2.72966,1
5,1.90623,3.09377,1
14,1.99428,3.00572,1
20,3.53911,1.46089,1
19,4.10173,0.898266,1
2,2.41673,2.58327,0
3,2.49952,2.50048,0
4,1.41403,3.58597,0
6,1.5451,3.4549,0
7,1.37423,3.62577,0
8,0.964297,4.0357,0
9,0.442357,4.55764,0
10,4.64241,0.357592,0
11,3.28544,1.71456,0
12,1.69632,3.30368,0
15,4.77856,0.22144,0
16,3.86628,1.13372,0
17,3.60169,1.39831,0
18,1.37335,3.62665,0
21,0.401102,4.5989,0
22,1.31853,3.53667,0
23,3.66973,1.16691,0
24,3.729,1.07996,0
25,3.63411,1.17866,0
26,3.7891,1.06164,0
27,3.82012,1.05773,0
29,1.91905,3.00227,0
31,1.90089,3.03983,0
8,2.95429,2.04571,1
21,2.73794,2.26206,1
2,4.20076,0.799237,0
3,4.01357,0.986433,0
4,3.59126,1.40874,0
5,3.69945,1.30055,0
6,3.07707,1.92293,0
7,3.92821,1.07179,0
9,0.41071,4.58929,0
10,3.05462,1.94538,0
11,1.73037,3.26963,0
12,2.07679,2.92321,0
13,0.782871,4.21713,0
14,0.617438,4.38256,0
15,0.857036,4.14296,0
16,1.81673,3.18327,0
17,4.15564,0.844356,0
18,0.0507829,4.94922,0
19,0.426973,4.57303,0
20,4.21366,0.786339,0
22,3.60912,1.31405,0
21,2.52036,2.47964,1
17,2.22614,2.77386,1
18,3.68627,1.31373,1
2,0.991366,4.00863,0
3,3.02521,1.97479,0
4,3.26219,1.73781,0
5,0.502279,4.49772,0
6,4.60283,0.397174,0
7,1.47649,3.52351,0
8,2.45722,2.54278,0
9,2.86716,2.13284,0
10,1.46357,3.53643,0
11,0.191293,4.80871,0
12,4.93744,0.0625571,0
13,1.79744,3.20256,0
14,4.25833,0.741668,0
15,4.40553,0.594471,0
16,4.77855,0.221448,0
19,1.7782,3.2218,0
20,2.39825,2.60175,0
22,3.12016,1.77708,0
23,3.10506,1.7692,0
14,2.90554,2.09446,1
2,2.78591,2.21409,0
3,2.03502,2.96498,0
4,0.433026,4.56697,0
5,2.31023,2.68977,0
6,3.62525,1.37475,0
7,1.52618,3.47382,0
8,4.46632,0.533682,0
9,2.81838,2.18162,0
10,2.37658,2.62342,0
11,3.65893,1.34107,0
12,0.290713,4.70929,0
13,0.320268,4.67973,0
15,0.44455,4.55545,0
16,2.75482,2.24518,0
17,0.300944,4.69906,0
18,4.8109,0.189095,0
19,3.15235,1.84765,0
20,0.582771,4.41723,0
21,2.29237,2.70763,0
22,2.78283,2.06353,0
15,3.95748,1.04252,1
21,2.00311,2.99689,1
17,3.36067,1.63933,1
2,2.07619,2.92381,0
3,3.54146,1.45854,0
4,0.0943954,4.9056,0
5,1.61304,3.38696,0
6,2.64186,2.35814,0
7,4.0626,0.937404,0
8,1.46912,3.53088,0
9,2.75973,2.24027,0
10,3.27147,1.72853,0
11,2.11862,2.88138,0
12,3.12769,1.87231,0
13,3.81894,1.18106,0
14,4.04216,0.957841,0
16,3.19954,1.80046,0
18,0.894984,4.10502,0
19,4.486,0.514004,0
20,1.24442,3.75558,0
22,1.51964,3.41203,0
23,3.38975,1.52569,0
